,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.252,10000.0,10000.0,10000.0,10000.0,"(5, 21)",Success
46,0.464,0.46,0.428,0.408,0.456,0.456,10000.0,10000.0,10000.0,0.468,0.468,10000.0,"(5, 22)",Success
47,10000.0,10000.0,10000.0,0.212,10000.0,0.264,0.256,0.256,10000.0,0.28,0.272,10000.0,"(5, 25)",Success
48,10000.0,0.504,10000.0,0.488,10000.0,10000.0,0.472,0.476,10000.0,0.328,0.524,0.544,"(5, 29)",Success
49,10000.0,10000.0,0.264,0.268,0.288,0.292,10000.0,10000.0,0.128,0.128,0.284,10000.0,"(6, 1)",Success
50,10000.0,0.244,0.188,0.188,0.224,0.224,10000.0,10000.0,10000.0,10000.0,0.18,10000.0,"(6, 2)",Success
51,0.572,0.572,10000.0,10000.0,0.584,0.616,0.628,10000.0,0.136,0.124,10000.0,10000.0,"(6, 3)",Failed
52,0.668,0.668,10000.0,10000.0,0.636,10000.0,10000.0,10000.0,0.276,0.252,10000.0,10000.0,"(6, 8)",Failed
53,10000.0,0.472,10000.0,10000.0,0.524,0.524,0.688,0.672,0.228,0.184,0.504,10000.0,"(6, 9)",Failed
54,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.208,10000.0,10000.0,"(6, 15)",Failed
55,10000.0,10000.0,10000.0,10000.0,0.636,0.692,10000.0,10000.0,10000.0,0.564,0.592,0.628,"(6, 19)",Failed
56,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.188,10000.0,10000.0,"(6, 21)",Failed
57,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.356,10000.0,10000.0,"(6, 22)",Failed
58,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.216,10000.0,10000.0,"(6, 23)",Failed
59,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.172,10000.0,10000.0,"(6, 24)",Failed
60,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(6, 28)",Failed
61,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.224,10000.0,10000.0,"(7, 11)",Failed
62,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.068,0.0,10000.0,10000.0,"(7, 12)",Failed
63,10000.0,0.668,10000.0,0.436,10000.0,10000.0,0.364,0.368,0.468,0.084,0.644,10000.0,"(7, 14)",Failed
64,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.124,0.028,10000.0,10000.0,"(7, 17)",Failed
65,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.108,0.108,10000.0,10000.0,"(7, 20)",Failed
66,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.544,0.548,10000.0,0.22,0.604,10000.0,"(7, 21)",Success
67,10000.0,10000.0,0.212,0.212,0.26,0.252,0.172,0.252,10000.0,0.068,0.196,10000.0,"(7, 24)",Success
68,10000.0,10000.0,0.528,0.28,10000.0,10000.0,0.388,0.46,0.56,0.008,0.492,0.548,"(7, 26)",Success
69,10000.0,10000.0,10000.0,0.236,0.288,10000.0,0.256,0.256,10000.0,0.044,0.212,10000.0,"(7, 28)",Success
70,10000.0,10000.0,10000.0,0.328,10000.0,0.364,10000.0,10000.0,10000.0,0.016,10000.0,10000.0,"(7, 29)",Success
71,10000.0,0.192,10000.0,0.176,0.192,10000.0,0.16,0.164,10000.0,0.124,0.176,10000.0,"(8, 1)",Success
72,10000.0,0.384,10000.0,0.4,0.4,0.404,0.472,0.472,10000.0,0.468,0.364,10000.0,"(8, 2)",Success
73,10000.0,0.324,0.356,0.556,0.276,0.3,0.376,0.324,0.288,0.0,0.28,10000.0,"(8, 5)",Failed
